Date,Open,High,Low,Close,Adj Close,Volume
10/14/2019,1995,2032.75,1968,2021,1827.663208,3510704
10/15/2019,2032,2047,2022.699951,2037.300049,1842.404053,2261310
10/16/2019,2038,2056,2016,2046.400024,1850.633667,3034082
10/17/2019,2014,2038,1999.300049,2030.949951,1873.277588,3818774
10/18/2019,2037.5,2063.899902,2025,2057.350098,1897.62793,3087901
10/22/2019,2080,2111.5,2040.050049,2051.399902,1892.139893,5552505
10/23/2019,2060,2083.850098,2052.5,2070.100098,1909.388062,2348134
10/24/2019,2084,2099,2061.300049,2082,1920.36438,2798671
10/25/2019,2094,2130,2075.050049,2124.949951,1959.979736,3954245
10/27/2019,2129,2129,2108.800049,2115.699951,1951.447998,224405
10/29/2019,2121.5,2201.699951,2121.5,2194.850098,2024.453125,5064173
10/30/2019,2225,2260,2176.850098,2252.800049,2077.904541,5195136
10/31/2019,2250,2284.949951,2237,2269.649902,2093.446533,4879261
11/1/2019,2264,2275,2195,2200.899902,2030.032837,4172620
11/4/2019,2207,2229.199951,2180.899902,2193.949951,2023.623413,2646411
11/5/2019,2197,2211,2169,2201.850098,2030.909668,2693475
11/6/2019,2200,2210.800049,2179,2188.5,2018.595947,2540719
11/7/2019,2204.5,2204.5,2175.199951,2185.350098,2015.69043,1915598
11/8/2019,2189.600098,2189.600098,2124,2129.949951,1964.591675,2788759
11/11/2019,2135,2139,2091,2100.949951,1937.842773,2983768
11/13/2019,2118,2183.800049,2118,2178.600098,2009.464233,3823365
11/14/2019,2187.5,2200,2146.699951,2196.800049,2026.251953,2995915
11/15/2019,2196,2211.5,2168.75,2174.449951,2005.637085,2724180
11/18/2019,2178.399902,2187.75,2148.75,2152.600098,1985.483398,1611089
11/19/2019,2153,2154.649902,2105,2108.800049,1945.08374,2975313
11/20/2019,2121.949951,2135,2094.5,2108.550049,1944.853271,2894129
11/21/2019,2112,2126.600098,2107.399902,2118.100098,1953.661621,2052574
11/22/2019,2097,2107,2060.5,2071.699951,1910.86377,3742049
11/25/2019,2074.550049,2084.949951,2052.199951,2081.5,1919.902954,2737010
11/26/2019,2089.850098,2097.899902,2035.050049,2046.650024,1887.758789,6561580
11/27/2019,2052,2071.699951,2046.550049,2054.300049,1894.814819,2907521
11/28/2019,2067.050049,2094.399902,2060,2077.350098,1916.075439,2924429
11/29/2019,2085,2085,2045.800049,2053.25,1893.846436,2064271
12/2/2019,2060,2067.699951,2016,2021.050049,1864.146118,3809860
12/3/2019,2027.699951,2062,2010,2051,1891.770996,4664774
12/4/2019,2053,2082,2045.5,2078.5,1917.13623,3334301
12/5/2019,2083,2126.800049,2068.350098,2121.300049,1956.613403,3902721
12/6/2019,2124,2128,2101,2123.600098,1958.734985,1829461
12/9/2019,2127.949951,2127.949951,2053.5,2060.449951,1900.487183,2244747
12/10/2019,2060,2060.850098,2003.25,2012.849976,1856.58252,4520045
12/11/2019,2025.400024,2048,2006.75,2041.900024,1883.377319,4943024
12/12/2019,2051.100098,2083.649902,1984,2020.900024,1864.007935,7137306
12/13/2019,2023,2077.399902,2007,2071.25,1910.449097,5711133
12/16/2019,2096,2136,2080.300049,2126.75,1961.640137,5574177
12/17/2019,2126.5,2169,2119,2164.949951,1996.874023,6059673
12/18/2019,2174,2203.449951,2153,2167.75,1999.457153,8251081
12/19/2019,2179.800049,2236.5,2167.550049,2229.050049,2055.998291,6251505
12/20/2019,2220,2246.699951,2208.25,2222.899902,2050.325684,5548338
12/23/2019,2210,2241.949951,2210,2231.699951,2058.442627,2247329
12/24/2019,2239,2243.550049,2211.149902,2215.600098,2043.593018,1805896
12/26/2019,2216.399902,2229,2195.199951,2201.949951,2031.001831,1880367
12/27/2019,2208,2226.399902,2176,2198.5,2027.82019,2720261
12/30/2019,2207,2225,2177.100098,2183.199951,2013.707397,2288830
12/31/2019,2189,2197,2157.449951,2161.699951,1993.876709,1909289
1/1/2020,2168,2183.899902,2154,2167.600098,1999.318481,1354908
1/2/2020,2179.949951,2179.949951,2149.199951,2157.649902,1990.141235,2380752
1/3/2020,2164,2223,2164,2200.649902,2029.802612,4655761
1/6/2020,2205,2225.949951,2187.899902,2200.449951,2029.618652,3023209
1/7/2020,2200.5,2214.649902,2183.800049,2205.850098,2034.599609,2429317
1/8/2020,2205,2260,2202.050049,2255.25,2080.164063,5197454
1/9/2020,2248.75,2251.949951,2210,2214.350098,2042.439331,3734173
1/10/2020,2228,2234,2208,2213.550049,2041.701538,1915807
1/13/2020,2217.850098,2218.949951,2184.699951,2190.350098,2020.303223,2843893
1/14/2020,2195,2229.800049,2195,2206.899902,2035.567627,2948452
1/15/2020,2213,2231,2194.199951,2226.899902,2054.014404,2620681
1/16/2020,2226.949951,2249,2215,2238.800049,2064.991211,3117214
1/17/2020,2240.75,2253.550049,2213,2219.100098,2046.820557,3281059
1/20/2020,2194.899902,2242.199951,2156.199951,2170.350098,2001.855347,5817599
1/21/2020,2169.949951,2186.550049,2158.050049,2171.050049,2002.500977,1902980
1/22/2020,2181,2210,2173.699951,2206.899902,2035.567627,1773686
1/23/2020,2209.800049,2217.75,2183.699951,2190.949951,2025.44458,2069866
1/24/2020,2190.949951,2190.949951,2170,2183.399902,2018.464844,1319430
1/27/2020,2189.699951,2193.449951,2165,2169.25,2005.384399,1549101
1/28/2020,2174,2187.800049,2152,2183.75,2018.789063,1743024
1/29/2020,2185,2186.949951,2150,2154.600098,1991.841309,2306761
1/30/2020,2160,2165,2125,2137.850098,1976.355835,2098567
1/31/2020,2139.399902,2144.350098,2071.600098,2079.050049,1921.998047,3287223
2/3/2020,2152,2194.699951,2093.199951,2102.5,1943.67627,4728073
2/4/2020,2129,2136.699951,2086.600098,2107.75,1948.529907,3509339
2/5/2020,2115,2156.699951,2104.300049,2146.550049,1984.399048,2439322
2/6/2020,2145,2174.199951,2115.5,2128.350098,1967.573486,2640065
2/7/2020,2139,2151,2119,2136.550049,1975.154419,2083442
2/10/2020,2140.899902,2167,2119,2161.949951,1998.634888,2383032
2/11/2020,2163,2174.800049,2147.600098,2153.399902,1990.731567,1335820
2/12/2020,2151.100098,2185,2150,2170.75,2006.770996,1620407
2/13/2020,2172.949951,2197,2171,2191.949951,2026.369629,1645948
2/14/2020,2188,2212,2171,2184.199951,2019.205322,1500115
2/17/2020,2196.949951,2217,2190.199951,2203.25,2036.815674,1774724
2/18/2020,2199.949951,2221,2186.050049,2215.75,2048.371338,2486223
2/19/2020,2215.75,2230,2190.5,2196.350098,2030.437012,1760463
2/20/2020,2204.5,2214.399902,2151.25,2156.800049,1993.874756,2317278
2/24/2020,2156,2178.949951,2106.699951,2115.350098,1955.555908,3092877
2/25/2020,2115.5,2176.649902,2111,2156.149902,1993.273926,2674567
2/26/2020,2154,2163.899902,2112.949951,2123.600098,1963.182861,2686842
2/27/2020,2119.949951,2119.949951,2086.199951,2105.5,1946.449951,2349001
2/28/2020,2068,2069.5,1990,2000.150024,1849.057861,4298076
3/2/2020,2035,2053.949951,1985.699951,2001.300049,1850.121094,2667076
3/3/2020,2020,2060,2012,2036.199951,1882.384766,2757585
3/4/2020,2056,2094.449951,2025,2083.199951,1925.834229,3237002
3/5/2020,2085.699951,2147.75,2084.050049,2125.050049,1964.523193,3937056
3/6/2020,2098,2123.649902,2071.600098,2116.449951,1956.572388,2595027
3/9/2020,2075,2079.899902,1935,1972.349976,1823.358032,4940975
3/11/2020,1933,1987.300049,1920,1953.699951,1806.116455,6796449
3/12/2020,1904,1908.400024,1758.349976,1769.849976,1636.154663,8728786
3/13/2020,1687.900024,1820,1506.050049,1806.300049,1669.851318,8029720
3/16/2020,1755,1842.25,1675.849976,1696.400024,1568.253296,7844271
3/17/2020,1730,1731,1623.150024,1658,1532.754272,5713248
3/18/2020,1676.800049,1713.550049,1627.75,1654.400024,1529.426025,7258778
3/19/2020,1559.699951,1685.449951,1546.75,1636.349976,1523.792236,5135111
3/20/2020,1630,1869,1627,1797.449951,1673.810669,8547498
3/23/2020,1620,1750,1617.75,1669.699951,1554.848389,7003490
3/24/2020,1653.050049,1770,1632.849976,1703.150024,1585.997437,6350865
3/25/2020,1700,1810,1680,1750.300049,1629.904053,2765520
3/26/2020,1831.599976,1832.050049,1722.550049,1790.949951,1667.757935,4556067
3/27/2020,1820,1850,1750.400024,1824.5,1699,4331250
3/30/2020,1766,1905,1763.550049,1778.5,1656.164185,8513547
3/31/2020,1837.400024,1855,1780,1826.099976,1700.48999,3927593
4/1/2020,1825.900024,1834.75,1702,1708.75,1591.21228,4941878
4/3/2020,1740,1740,1650,1654.199951,1540.414185,5735369
4/7/2020,1710,1785.849976,1705,1775.199951,1653.091553,5427577
4/8/2020,1760,1806,1701,1705.449951,1588.138916,6285615
4/9/2020,1750.449951,1778.800049,1731.199951,1766.150024,1644.664063,5307397
4/13/2020,1761,1787,1746,1759.25,1638.238403,2990438
4/15/2020,1785,1812,1727.800049,1735.150024,1615.796021,4761399
4/16/2020,1709.949951,1764.900024,1675.050049,1716.050049,1598.010254,6245533
4/17/2020,1800,1851.949951,1753,1806.199951,1681.958862,9895823
4/20/2020,1830,1830,1802.5,1818.650024,1693.552734,3244282
4/21/2020,1765,1794.599976,1727.699951,1737.650024,1618.124146,5122541
4/22/2020,1737.650024,1790,1719.150024,1769.5,1647.783325,3829836
4/23/2020,1780,1900,1760.849976,1878.25,1749.053101,5934366
4/24/2020,1840.699951,1851.949951,1807.800049,1818.550049,1693.459229,2987102
4/27/2020,1832.300049,1875,1825,1836.599976,1710.267822,3374741
4/28/2020,1865,1868,1832.599976,1859.050049,1731.173706,2678505
4/29/2020,1874,1912.550049,1850.050049,1905.650024,1774.568359,4241510
4/30/2020,1980,2032,1942.199951,2014.449951,1875.884155,5915544
5/4/2020,1966,1966,1913.650024,1930.449951,1797.662354,3729348
5/5/2020,1955.099976,1977,1927,1932.75,1799.804199,2905528
5/6/2020,1939.800049,1953.699951,1893.599976,1903.599976,1772.659302,3517431
5/7/2020,1910,1934.449951,1883.349976,1891.650024,1761.531128,3166754
5/8/2020,1939.099976,1939.5,1886.25,1893.400024,1763.160645,2686530
5/11/2020,1909,1951.400024,1909,1935.300049,1802.178711,2449841
5/12/2020,1933.400024,1956.5,1910.25,1949.5,1815.401978,3256595
5/13/2020,1994,1994,1925.650024,1949.650024,1815.541626,2656665
5/14/2020,1910,1923.099976,1891.099976,1902.349976,1771.495117,2263146
5/15/2020,1916,1917.400024,1865.199951,1892.900024,1762.69519,3173682
5/18/2020,1907,1952.949951,1872.099976,1945.599976,1811.770142,3727694
5/19/2020,1903,1966.449951,1903,1948.650024,1814.610474,3198693
5/20/2020,1950,1962.900024,1931.699951,1953.599976,1819.219727,2778505
5/21/2020,1946,1998,1941.150024,1991.199951,1854.233398,3400908
5/22/2020,1977.099976,2032,1961.25,2020.349976,1881.37854,3663418
5/26/2020,2015,2024,1925,1943,1809.349121,4575317
5/27/2020,1959,2010,1941.25,2005.300049,1867.36377,3482160
5/28/2020,1988.5,2014,1971.300049,2004.300049,1866.432495,3475681
5/29/2020,1982,2002.650024,1962.400024,1972.349976,1836.680054,7237735
6/1/2020,1990,2060,1981.099976,2045.25,1904.565674,3747773
6/2/2020,2060.199951,2081,2040.050049,2047.150024,1906.334839,2443886
6/3/2020,2051.850098,2063.75,2020,2046.150024,1911.004639,3699799
6/4/2020,2046.75,2100,2046.75,2091.550049,1953.40625,4048593
6/5/2020,2091.600098,2098,2040.300049,2048.25,1912.966064,3573289
6/8/2020,2078.25,2095,2062.100098,2071.75,1934.913818,2957841
6/9/2020,2063.100098,2095.5,2060.25,2072.050049,1935.194214,2909439
6/10/2020,2077.050049,2132,2073.5,2108.75,1969.469971,5168397
6/11/2020,2100,2105,2061.800049,2067.649902,1931.084473,2269513
6/12/2020,2011.199951,2049.199951,2011,2039.5,1904.793701,2842642
6/15/2020,2039.099976,2059,2000.949951,2029.900024,1895.828003,2399022
6/16/2020,2065,2073.949951,2031,2045.800049,1910.677979,2146528
6/17/2020,2046,2058.850098,2026.550049,2047.800049,1912.545654,2703527
6/18/2020,2045,2059.199951,2025.199951,2038.099976,1903.486328,1944389
6/19/2020,2042,2090,2032,2044.599976,1909.557129,5681758
6/22/2020,2050,2052.25,2019.150024,2027.949951,1894.006836,3196138
6/23/2020,2027,2044,2010,2035.300049,1900.871582,4205944
6/24/2020,2034,2064.25,2031.599976,2042.199951,1907.315674,2560937
6/25/2020,2035,2060,2009.25,2016.099976,1882.939575,3043931
6/26/2020,2025,2132,2019.949951,2118.850098,1978.903076,6300722
6/29/2020,2108,2127.600098,2091.300049,2101.649902,1962.839111,3076341
6/30/2020,2100,2111.899902,2075.050049,2082.149902,1944.626953,3071725
7/1/2020,2079.699951,2113.949951,2079.5,2092.050049,1953.873047,2503466
7/2/2020,2102,2165,2098,2157.149902,2014.673096,3758699
7/3/2020,2163.649902,2205,2160.25,2199.649902,2054.366699,4185208
7/6/2020,2205,2269.899902,2205,2263.199951,2113.71875,5190366
7/7/2020,2275,2302.699951,2232.149902,2269.899902,2119.976318,5630055
7/8/2020,2270,2274.399902,2207.600098,2218.899902,2072.344482,2793358
7/9/2020,2229,2244.5,2191.050049,2204.350098,2058.756104,3443998
7/10/2020,2205.25,2249.850098,2176,2222.350098,2075.567139,9610320
7/13/2020,2220,2244.949951,2210,2220,2073.371826,2963503
7/14/2020,2210,2239,2165,2171.949951,2028.495361,2976738
7/15/2020,2185,2260,2181.100098,2233.899902,2086.354004,5569321
7/16/2020,2244,2333,2220.100098,2234.75,2091.829834,8582118
7/17/2020,2237,2243.899902,2190.050049,2200.75,2060.00415,4509135
7/20/2020,2201,2226.899902,2190.800049,2207.899902,2066.696777,2952646
7/21/2020,2230,2238.649902,2201.149902,2225.050049,2082.75,2665286
7/22/2020,2231,2231,2184.199951,2190.949951,2050.831055,2861534
7/23/2020,2190.949951,2190.949951,2163,2171.199951,2032.343994,2265766
7/24/2020,2154.5,2163,2125.100098,2157.399902,2019.426636,3665100
7/27/2020,2165,2215,2163.5,2206.800049,2065.667725,4248480
7/28/2020,2215,2320,2215,2309.75,2162.033447,8092319
7/29/2020,2292,2342,2246.050049,2276.050049,2130.488525,6090431
7/30/2020,2285.899902,2358,2272.25,2279.5,2133.718018,7098496
7/31/2020,2303.149902,2334.800049,2257.449951,2281.399902,2135.496338,4723290
8/3/2020,2290.449951,2303.850098,2230.699951,2254.149902,2109.989502,4012337
8/4/2020,2259.949951,2269.649902,2225.050049,2249.699951,2105.823486,2927928
8/5/2020,2260,2300,2253,2259.5,2114.99707,3800641
8/6/2020,2275,2319.5,2265.350098,2308.100098,2160.489258,4748047
8/7/2020,2308,2328,2287,2295.350098,2148.554443,3165491
8/10/2020,2318,2325,2276.050049,2282.800049,2136.806885,2929353
8/11/2020,2283,2312,2275.600098,2279.899902,2134.091797,2774423
8/12/2020,2288.350098,2296.399902,2246.550049,2257.350098,2112.984131,3415751
8/13/2020,2273,2300,2250.5,2254.449951,2110.269775,2695682
8/14/2020,2277,2281.300049,2233.100098,2242.149902,2098.756104,2270405
8/17/2020,2263,2270,2238.25,2253.399902,2109.287109,2625630
8/18/2020,2262.800049,2289,2248.300049,2269.75,2124.591309,3493374
8/19/2020,2276.350098,2284.600098,2252.5,2256.600098,2112.282959,2843005
8/20/2020,2257,2276.550049,2240.050049,2252.850098,2108.772705,2895164
8/21/2020,2260,2271,2241.050049,2248.600098,2104.793945,1975294
8/24/2020,2250.600098,2259.949951,2230,2248.100098,2104.325928,2167966
8/25/2020,2245,2250,2233.550049,2242.649902,2099.224609,1663419
8/26/2020,2242,2259.899902,2216.449951,2253.5,2109.380615,2618149
8/27/2020,2266,2287.350098,2241.75,2248.399902,2104.606689,3579393
8/28/2020,2268.399902,2279.949951,2235.100098,2238.550049,2095.386475,2941136
8/31/2020,2240,2276.199951,2228,2257.25,2112.890869,6018154
9/1/2020,2269,2278,2241.300049,2246.350098,2102.687988,3610908
9/2/2020,2247,2268.75,2241.649902,2265.149902,2120.285645,2084137
9/3/2020,2268,2324,2268,2299.5,2152.438965,4654146
9/4/2020,2275,2324.25,2262.949951,2288.800049,2142.42334,5231303
9/7/2020,2289,2343.5,2283.350098,2327.050049,2178.227051,4620401
9/8/2020,2335.949951,2390.449951,2327.050049,2348.199951,2198.024414,7453998
9/9/2020,2325,2359,2320,2327.649902,2178.788574,3866535
9/10/2020,2335,2348.5,2324.300049,2331.149902,2182.064453,2308813
9/11/2020,2330.949951,2383,2330.149902,2374.100098,2222.268311,4145424
9/14/2020,2384.100098,2505.75,2381.850098,2491.399902,2332.065918,7512131
9/15/2020,2491.399902,2538,2464.600098,2491.399902,2332.065918,7318770
9/16/2020,2488.949951,2507.600098,2477.300049,2503,2342.925049,3074003
9/17/2020,2480,2495.75,2450.600098,2460.949951,2303.563477,4828176
9/18/2020,2485,2500.399902,2436.399902,2449.899902,2293.220703,4183256
9/21/2020,2465,2504.899902,2452.149902,2465.300049,2307.635986,4598809
9/22/2020,2485,2555,2458,2522.949951,2361.598633,7499613
9/23/2020,2510,2519.850098,2409,2467.449951,2309.647949,7502280
9/24/2020,2450,2450,2302.600098,2332.25,2183.095215,8424708
9/25/2020,2368,2440,2352.100098,2422.300049,2267.385498,8228267
