Date,Open,High,Low,Close,Adj Close,Volume
20/08/19,2172,2205,2166.5,2186.75,1977.557129,1843611
21/08/19,2184.949951,2202,2182.25,2186.199951,1977.059692,1214408
22/08/19,2187,2235.649902,2170,2216,2004.009155,2131601
23/08/19,2214.949951,2259.899902,2213.899902,2247.699951,2032.676392,2826425
26/08/19,2247,2282,2225,2276.300049,2058.540283,2345475
27/08/19,2270,2274.850098,2229,2236.5,2022.547852,3432106
28/08/19,2240,2252.149902,2216,2239.25,2025.034912,1294621
29/08/19,2222.199951,2248.199951,2222.199951,2233.449951,2019.789551,1670652
30/08/19,2241,2266,2218,2259.600098,2043.437866,2583625
03/09/19,2270,2296.199951,2236.949951,2251.600098,2036.204224,2545060
04/09/19,2265,2270,2233,2245.399902,2030.596191,2228092
05/09/19,2242.199951,2253.649902,2207.300049,2215.300049,2003.375732,2055943
06/09/19,2216,2233.5,2192.600098,2197.5,1987.278687,1890550
09/09/19,2200,2202.850098,2179.800049,2182.850098,1974.030273,1703945
11/09/19,2186,2195,2146.550049,2154,1947.940186,2627440
12/09/19,2155,2165,2120.350098,2133.600098,1929.491577,2118859
13/09/19,2135,2157.949951,2115.550049,2141.949951,1937.042603,2291174
16/09/19,2159.949951,2173.399902,2126.399902,2150,1944.32251,2597948
17/09/19,2154.949951,2156.550049,2105.600098,2122.649902,1919.589111,2796530
18/09/19,2126.399902,2142.949951,2113.149902,2138.550049,1933.967896,1454663
19/09/19,2135,2135.800049,2091,2101.949951,1900.869141,1652691
20/09/19,2104.899902,2129.399902,2057,2065.449951,1867.861206,6941979
23/09/19,2099,2099,1975,2015.800049,1822.960571,6323401
24/09/19,2015,2061,2013,2044.699951,1849.096191,4620978
25/09/19,2065,2092,2060.050049,2088.449951,1888.660522,4002232
26/09/19,2097.899902,2107,2063,2087.600098,1887.892334,4234281
27/09/19,2085,2085.199951,2051.399902,2056.149902,1859.450562,2046795
30/09/19,2061.850098,2104,2060,2099.300049,1898.472778,2620039
01/10/19,2095.949951,2095.949951,2039.699951,2059.949951,1862.887207,3342877
03/10/19,2070,2081.149902,2046.150024,2060.25,1863.158691,2317618
04/10/19,2060.600098,2087.949951,2054.949951,2079.350098,1880.431641,2163251
07/10/19,2080,2094.5,2041,2047.699951,1851.80896,2177916
09/10/19,2060,2060,2015.5,2020.099976,1826.849243,2066920
10/10/19,2028,2039.050049,1997.099976,2004.449951,1812.696655,2881452
11/10/19,1931,1995,1925,1986.849976,1796.780273,12593069
14/10/19,1995,2032.75,1968,2021,1827.66333,3510704
15/10/19,2032,2047,2022.699951,2037.300049,1842.403809,2261310
16/10/19,2038,2056,2016,2046.400024,1850.633301,3034082
17/10/19,2014,2038,1999.300049,2030.949951,1873.277466,3818774
18/10/19,2037.5,2063.899902,2025,2057.350098,1897.627808,3087901
22/10/19,2080,2111.5,2040.050049,2051.399902,1892.139771,5552505
23/10/19,2060,2083.850098,2052.5,2070.100098,1909.387939,2348134
24/10/19,2084,2099,2061.300049,2082,1920.364258,2798671
25/10/19,2094,2130,2075.050049,2124.949951,1959.979736,3954245
27/10/19,2129,2129,2108.800049,2115.699951,1951.447998,224405
29/10/19,2121.5,2201.699951,2121.5,2194.850098,2024.452759,5064173
30/10/19,2225,2260,2176.850098,2252.800049,2077.904785,5195136
31/10/19,2250,2284.949951,2237,2269.649902,2093.446289,4879261
01/11/19,2264,2275,2195,2200.899902,2030.033203,4172620
04/11/19,2207,2229.199951,2180.899902,2193.949951,2023.622559,2646411
05/11/19,2197,2211,2169,2201.850098,2030.910034,2693475
06/11/19,2200,2210.800049,2179,2188.5,2018.596436,2540719
07/11/19,2204.5,2204.5,2175.199951,2185.350098,2015.69043,1915598
08/11/19,2189.600098,2189.600098,2124,2129.949951,1964.591553,2788759
11/11/19,2135,2139,2091,2100.949951,1937.843018,2983768
13/11/19,2118,2183.800049,2118,2178.600098,2009.464966,3823365
14/11/19,2187.5,2200,2146.699951,2196.800049,2026.252197,2995915
15/11/19,2196,2211.5,2168.75,2174.449951,2005.636597,2724180
18/11/19,2178.399902,2187.75,2148.75,2152.600098,1985.483154,1611089
19/11/19,2153,2154.649902,2105,2108.800049,1945.083862,2975313
20/11/19,2121.949951,2135,2094.5,2108.550049,1944.852905,2894129
21/11/19,2112,2126.600098,2107.399902,2118.100098,1953.661743,2052574
22/11/19,2097,2107,2060.5,2071.699951,1910.863892,3742049
25/11/19,2074.550049,2084.949951,2052.199951,2081.5,1919.903198,2737010
26/11/19,2089.850098,2097.899902,2035.050049,2046.650024,1887.758667,6561580
27/11/19,2052,2071.699951,2046.550049,2054.300049,1894.814819,2907521
28/11/19,2067.050049,2094.399902,2060,2077.350098,1916.075684,2924429
29/11/19,2085,2085,2045.800049,2053.25,1893.846313,2064271
02/12/19,2060,2067.699951,2016,2021.050049,1864.14624,3809860
03/12/19,2027.699951,2062,2010,2051,1891.77063,4664774
04/12/19,2053,2082,2045.5,2078.5,1917.135742,3334301
05/12/19,2083,2126.800049,2068.350098,2121.300049,1956.613159,3902721
06/12/19,2124,2128,2101,2123.600098,1958.734741,1829461
